lalka_1_01_f000001|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?
lalka_1_02_f000037|Drzwi od sieni skrzypnęły i ukazał się pan Klajn, mizerny subiekt, ze smutnym uśmiechem na posiniałych ustach.|Drzwi od sieni skrzypnęły i ukazał się pan Klajn mizerny subiekt ze smutnym uśmiechem na posiniałych ustach.
lalka_1_02_f000038|A co, byłem pewny, że pan przyjdziesz pierwszy. Dzień dobry - rzekł pan Ignacy - Paweł! gaś światło i otwieraj sklepan|A co byłem pewny że pan przyjdziesz pierwszy. Dzień dobry - rzekł pan Ignacy - Paweł! gaś światło i otwieraj sklepan
lalka_1_02_f000039|Służący wbiegł ciężkim kłusem i zakręcił gaz. Po chwili rozległo się zgrzytanie ryglów, szczękanie sztab i do sklepu wszedł dzień, jedyny gość, który nigdy nie zawodzi kupca.|Służący wbiegł ciężkim kłusem i zakręcił gaz. Po chwili rozległo się zgrzytanie ryglów szczękanie sztab i do sklepu wszedł dzień jedyny gość który nigdy nie zawodzi kupca.
lalka_1_02_f000040|Rzecki usiadł przy kantorku pod oknem, Klajn stanął na zwykłem miejscu przy porcelanie.|Rzecki usiadł przy kantorku pod oknem Klajn stanął na zwykłem miejscu przy porcelanie.
lalka_1_02_f000041|Pryncypał jeszcze nie wraca, nie miał pan listu? - spytał Klajn.|Pryncypał jeszcze nie wraca nie miał pan listu? - spytał Klajn.
lalka_1_02_f000042|Spodziewam się go w połowie marca, najdalej za miesiąc.|Spodziewam się go w połowie marca najdalej za miesiąc.
lalka_1_02_f000043|Jeżeli go nie zatrzyma nowa wojna.|Jeżeli go nie zatrzyma nowa wojna.
lalka_1_02_f000044|taś... Pan Wokulski - poprawił się Rzecki - pisze mi, że wojny nie będzie.|Staś... Pan Wokulski - poprawił się Rzecki - pisze mi że wojny nie będzie.
lalka_1_02_f000045|Kursa jednak spadają a przed chwilą czytałem, że flota angielska wpłynęła na Dardanele.|Kursa jednak spadają a przed chwilą czytałem że flota angielska wpłynęła na Dardanele.
lalka_1_02_f000046|To nic, wojny nie będzie. Zresztą - westchnął pan Ignacy - co nas obchodzi wojna, w której nie przyjmie udziału Bonaparte.|To nic wojny nie będzie. Zresztą - westchnął pan Ignacy - co nas obchodzi wojna w której nie przyjmie udziału Bonaparte.
lalka_1_02_f000047|Bonapartowie skończyli już karierę.|Bonapartowie skończyli już karierę.
lalka_1_02_f000048|Doprawdy?... - uśmiechnął się ironicznie pan Ignacy. - A na czyjąż korzyść Mac-Mahon z Ducrotem układali w styczniu zamach stanu?... Wierz mi panie Klajn, Bonapartyzm to potęga!|Doprawdy?... - uśmiechnął się ironicznie pan Ignacy. - A na czyjąż korzyść Mac-Mahon z Ducrotem układali w styczniu zamach stanu?... Wierz mi panie Klajn Bonapartyzm to potęga!
lalka_1_02_f000049|Jest większa od niej.|Jest większa od niej.
lalka_1_02_f000050|Jaka? - oburzył się pan Ignacy. - Może republika z Gambetą?... Może Bismark?|Jaka? - oburzył się pan Ignacy. - Może republika z Gambetą?... Może Bismark?
lalka_1_02_f000051|Socjalizm... - szepnął mizerny subiekt, kryjąc się za porcelanę.|Socjalizm... - szepnął mizerny subiekt kryjąc się za porcelanę.
lalka_1_02_f000052|pan Ignacy mocniej zasadził binokle i podniósł się na swym fotelu, jakby pragnąc jednym zamachem obalić nową teorię, która przeciwstawiała się jego poglądom;|pan Ignacy mocniej zasadził binokle i podniósł się na swym fotelu jakby pragnąc jednym zamachem obalić nową teorię która przeciwstawiała się jego poglądom;
lalka_1_02_f000053|lecz poplątało mu szyki wejście drugiego subiekta, z brodą.|lecz poplątało mu szyki wejście drugiego subiekta z brodą.
lalka_1_02_f000054|A moje uszanowanie panu Lisieckiemu! - zwrócił się do przybyłego.|A moje uszanowanie panu Lisieckiemu! - zwrócił się do przybyłego.
lalka_1_02_f000055|- Zimny dzień dziś mamy, prawda? Która też godzina w mieście, bo mój zegarek musi się spieszyć. Jeszcze chyba nie ma kwadransa na dziewiątą?|- Zimny dzień mamy prawda? Która też godzina w mieście bo mój zegarek musi się spieszyć. Jeszcze chyba nie ma kwadransa na dziewiątą?
lalka_1_02_f000056|Także, koncept!... Pański zegarek zawsze spieszy się z rana, a późni wieczorem - odparł cierpko Lisiecki, ocierając szronem pokryte wąsy.|Także koncept!... Pański zegarek zawsze spieszy się z rana a późni wieczorem - odparł cierpko Lisiecki ocierając szronem pokryte wąsy.
lalka_1_02_f000057|Założę się, żeś pan był wczoraj na preferansie.|Założę się żeś pan był wczoraj na preferansie.
lalka_1_02_f000058|Ma się wiedzieć. Cóż pan myślisz, że mi na całą dobę wystarczy widok waszych galanteryj i pańskiej siwizny?|Ma się wiedzieć. Cóż pan myślisz że mi na całą dobę wystarczy widok waszych galanteryj i pańskiej siwizny?
lalka_1_02_f000059|No, mój panie, wolę być trochę szpakowatym, aniżeli łysym - oburzył się pan Ignacy.|No mój panie wolę być trochę szpakowatym aniżeli łysym - oburzył się pan Ignacy.
lalka_1_02_f000060|Koncept!... - syknął pan Lisiecki. - Moja łysina, jeżeli ją kto dojrzy, jest smutnem dziedzictwem rodu,|Koncept!... - syknął pan Lisiecki. - Moja łysina jeżeli ją kto dojrzy jest smutnem dziedzictwem rodu
lalka_1_02_f000061|ale pańska siwizna i gderliwy charakter są owocami starości, którą... chciałbym uszanować.|ale pańska siwizna i gderliwy charakter są owocami starości którą... chciałbym szanować.
lalka_1_02_f000062|Do sklepu wszedł pierwszy gość: kobieta ubrana w salopę i chustkę na głowie, żądająca mosiężnej spluwaczki.|Do sklepu wszedł pierwszy gość: kobieta ubrana w salopę i chustkę na głowie żądająca mosiężnej spluwaczki.
lalka_1_02_f000063|Pan Ignacy bardzo nisko ukłonił się jej i ofiarował krzesło, a pan Lisiecki zniknął za szafami i wróciwszy po chwili, doręczył interesantce ruchem pełnym godności, żądany przedmiot.|Pan Ignacy bardzo nisko ukłonił się jej i ofiarował krzesło a pan Lisiecki zniknął za szafami i wróciwszy po chwili doręczył interesantce ruchem pełnym godności żądany przedmiot.
lalka_1_02_f000064|Potem zapisał cenę spluwaczki na kartce, podał ją przez ramię Rzeckiemu i poszedł za gablotkę z miną bankiera, który złożył na cel dobroczynny kilka tysięcy rubli.|Potem zapisał cenę spluwaczki na kartce podał ją przez ramię Rzeckiemu i poszedł za gablotkę z miną bankiera który złożył na cel dobroczynny kilka tysięcy rubli.
lalka_1_02_f000065|Spór o siwiznę i łysinę był zażegnany.|Spór o siwiznę i łysinę był zażegnany.
lalka_1_02_f000066|Dopiero około dziewiątej wszedł a raczej wpadł do sklepu pan Mraczewski, piękny, dwudziestokilkoletni blondynek, z oczyma jak gwiazdy, z ustami jak korale, z wąsikami jak zatrute sztylety.|Dopiero około dziewiątej wszedł a raczej wpadł do sklepu pan Mraczewski piękny dwudziestokilkoletni blondynek z oczyma jak gwiazdy z ustami jak korale z wąsikami jak zatrute sztylety.
lalka_1_02_f000067|Wbiegł, ciągnąc za sobą od progu smugę woni i zawołał:|Wbiegł ciągnąc za sobą od progu smugę woni i zawołał:
lalka_1_02_f000068|Słowo honoru daję, że już musi być wpół do dziesiątej.|Słowo honoru daję że już musi być wpół do dziesiątej.
lalka_1_02_f000069|Letkiewicz jestem, gałgan jestem, no - podły jestem, ale cóż zrobię, kiedy matka mi zachorowała i musiałem szukać doktora. Byłem u sześciu.|Letkiewicz jestem gałgan jestem no - podły jestem ale cóż zrobię kiedy matka mi zachorowała i musiałem szukać doktora. Byłem u sześciu.
lalka_1_02_f000070|Czy u tych, którym dajesz pan neseserki? - spytał Lisiecki.|Czy u tych którym dajesz pan neseserki? - spytał Lisiecki.
lalka_1_02_f000071|Neseserki?... Nie. Nasz doktór nie przyjąłby nawet szpilki. Zacny człowiek... Prawda panie Rzecki, że już jest wpół do dziesiątej? Stanął mi zegarek.|Neseserki?... Nie. Nasz doktór nie przyjąłby nawet szpilki. Zacny człowiek... Prawda panie Rzecki że już jest wpół do dziesiątej? Stanął mi zegarek.
lalka_1_02_f000072|Dochodzi dziewiąta... - odparł ze szczególnym naciskiem pan Ignacy.|Dochodzi dzie wią-ta... - odparł ze szczególnym naciskiem pan Ignacy.
lalka_1_02_f000073|Dopiero dziewiąta?... No ktoby myślał! A tak projektowałem sobie, że dziś przyjdę do sklepu pierwszy, wcześniej od pana Klajna.|Dopiero dziewiąta?... No ktoby myślał! A tak projektowałem sobie że dziś przyjdę do sklepu pierwszy wcześniej od pana Klajna.
lalka_1_02_f000074|Ażeby wyjść przed ósmą - wtrącił pan Lisiecki.|Ażeby wyjść przed ósmą - wtrącił pan Lisiecki.
lalka_1_02_f000075|Mraczewski utkwił w nim błękitne oczy, w których malowało się najwyższe zdumienie.|Mraczewski utkwił w nim błękitne oczy w których malowało się najwyższe zdumienie.
lalka_1_02_f000076|Pan skąd wie?... - odparł. - No, słowo honoru daję, że ten człowiek ma zmysł proroczy! Właśnie dziś, słowo hono.|Pan skąd wie?... - odparł. - No słowo honoru daję że ten człowiek ma zmysł proroczy! Właśnie dziś słowo honoru.
lalka_1_02_f000077|muszę być na mieście przed siódmą, choćbym umarł, choćbym... miał podać się do dymisji.|muszę być na mieście przed siódmą choćbym umarł choćbym... miał podać się do dymisji.
lalka_1_02_f000078|Niech pan od tego zacznie - wybuchnął Rzecki, - a będzie pan wolny przed jedenastą, nawet w tej chwili, panie Mraczewski.|Niech pan od tego zacznie - wybuchnął Rzecki - a będzie pan wolny przed jedenastą nawet w tej chwili panie Mraczewski.
lalka_1_02_f000079|Pan powinieneś być hrabią, nie kupcem, i dziwię się, że pan odrazu nie wstąpił do tamtego fachu, przy którym zawsze ma się czas, panie Mraczewski. Naturalnie!|Pan powinieneś być hrabią nie kupcem i dziwię się że pan odrazu nie wstąpił do tamtego fachu przy którym zawsze ma się czas panie Mraczewski. Naturalnie!
lalka_1_02_f000080|No, i pan w jego wieku latałeś za spódniczkami - odezwał się Lisiecki. - Co tu się bawić w morały.|No i pan w jego wieku latałeś za spódniczkami - odezwał się Lisiecki. - Co tu bawić się w morały.
lalka_1_02_f000081|Nigdy nie latałem! - krzyknął Rzecki, uderzając pięścią w kantorek.|Nigdy nie latałem! - krzyknął Rzecki uderzając pięścią w kantorek.
lalka_1_02_f000082|Przynajmniej raz wygadał się, że całe życie był niedołęgą - mruknął Lisiecki do Klajna, który uśmiechał się podnosząc jednocześnie brwi bardzo wysoko.|Przynajmniej raz wygadał się że całe życie jest niedołęgą - mruknął Lisiecki do Klajna który uśmiechał się podnosząc jednocześnie brwi bardzo wysoko.
lalka_1_02_f000083|Do sklepu wszedł drugi gość i zażądał kaloszy. Naprzeciw niego wysunął się Mraczewski.|Do sklepu wszedł drugi gość i zażądał kaloszy. Naprzeciw niego wysunął się Mraczewski.
lalka_1_02_f000084|Kaloszyków żąda szanowny pan? Który numerek, jeżeli wolno spytać? Ach, szanowny pan zapewne nie pamięta! Nie każdy ma czas myśleć o numerze swoich kaloszy, to należy do nas. Szanowny pan pozwoli, że przymierzymy?|Kaloszyków żąda szanowny pan? Który numerek jeżeli wolno spytać? Ach szanowny pan zapewne nie pamięta! Nie każdy ma czas myśleć o numerze swoich kaloszy to należy do nas. Szanowny pan pozwoli że przymierzymy?
lalka_1_02_f000085|Szanowny pan raczy zająć miejsce na taburecie. Paweł! przynieś ręcznik, zdejm panu kalosze i wytrzyj obuwie.|Szanowny pan raczy zająć miejsce na taburecie. Paweł! przynieś ręcznik zdejm panu kalosze i wytrzyj obuwie.
lalka_1_02_f000086|Wbiegł Paweł ze ścierką i rzucił się do nóg przybyłemu.|Wbiegł Paweł ze ścierką i rzucił się do nóg przybyłemu.
lalka_1_02_f000087|Ależ panie, ależ przepraszam!... tłumaczył się odurzony gość.|Ależ panie ależ przepraszam!... tłómaczył się odurzony gość.
lalka_1_02_f000088|Bardzo prosimy - mówił prędko Mraczewski - to nasz obowiązek.|Bardzo prosimy - mówił prędko Mraczewski - to nasz obowiązek.
lalka_1_02_f000089|Zdaje mi się, że te będą dobre - ciągnął, podając parę zczepionych nitką kaloszy.|Zdaje mi się że te będą dobre - ciągnął podając parę zczepionych nitką kaloszy.
lalka_1_02_f000090|- Doskonałe, pysznie wyglądają; szanowny pan ma tak normalną nogę, że nie podobna mylić się co do numeru. Szanowny pan życzy sobie zapewne literki; jakie mają być literki?|- Doskonałe pysznie wyglądają; szanowny pan ma tak normalną nogę że nie podobna mylić się co do numeru. Szanowny pan życzy sobie zapewne literki; jakie mają być literki?
lalka_1_02_f000091|L. p. - mruknął gość, czując, że tonie w bystrym potoku wymowy grzecznego subiekta.|L. pan - mruknął gość czując że tonie w bystrym potoku wymowy grzecznego subiekta.
lalka_1_02_f000092|Panie Lisiecki, panie Klajn, przybijcie z łaski swojej literki. Szanowny pan każe zawinąć dawne kalosze? Paweł! wytrzyj kalosze i okręć w bibułę. A może szanowny pan nie życzy sobie dźwigać zbytecznego ciężaru? Paweł rzuć kalosze do paki.|Panie Lisiecki panie Klajn przybijcie z łaski swojej literki. Szanowny pan każe zawinąć dawne kalosze? Paweł! wytrzyj kalosze i okręć w bibułę. A może szanowny pan nie życzy sobie dźwigać zbytecznego ciężaru? Paweł rzuć kalosze do paki.
lalka_1_02_f000093|Należy się dwa ruble, kopiejek pięćdziesiąt... Kaloszy z literkami nikt szanownemu panu nie zamieni, a to przykra rzecz, znaleść w miejsce nowych artykułów, dziurawe graty.|Należy się dwa ruble kopiejek pięćdziesiąt... Kaloszy z literkami nikt szanownemu panu nie zamieni a to przykra rzecz znaleść w miejsce nowych artykułów dziurawe graty.
lalka_1_02_f000094|Dwa ruble pięćdziesiąt kopiejek do kasy, z tą karteczką. Panie kasjerze, pięćdziesiąt kopiejek reszty dla szanownego pana.|Dwa ruble pięćdziesiąt kopiejek do kasy z tą karteczką. Panie kasjerze pięćdziesiąt kopiejek reszty dla szanownego pana.
lalka_1_02_f000095|Nim gość oprzytomniał, ubrano go w kalosze, wydano resztę i wśród niskich ukłonów, odprowadzono do drzwi.|Nim gość oprzytomniał ubrano go w kalosze wydano resztę i wśród niskich ukłonów odprowadzono do drzwi.
lalka_1_02_f000096|Interesant stał przez chwilę na ulicy, bezmyślnie patrząc w szybę, zpoza której Mraczewski darzył go słodkim uśmiechem i ognistemi spojrzeniami.|Interesant stał przez chwilę na ulicy bezmyślnie patrząc w szybę zpoza której Mraczewski darzył go słodkim uśmiechem i ognistemi spojrzeniami.
lalka_1_02_f000097|Wreszcie machnął ręką i poszedł dalej, może myśląc, że w innym sklepie kalosze bez literek kosztowałyby go dziesięć złotych.|Wreszcie machnął ręką i poszedł dalej może myśląc że w innym sklepie kalosze bez literek kosztowałyby go dziesięć złotych.
lalka_1_02_f000098|Pan Ignacy zwrócił się do Lisieckiego i kiwał głową w sposób oznaczający podziw i zadowolenie.|Pan Ignacy zwrócił się do Lisieckiego i kiwał głową w sposób oznaczający podziw i zadowolenie.
lalka_1_02_f000099|Mraczewski dostrzegł ten ruch kątem oka i podbiegłszy do Lisieckiego, rzekł półgłosem:|Mraczewski dostrzegł ten ruch kątem oka i podbiegłszy do Lisieckiego rzekł półgłosem:
lalka_1_02_f000100|Niech no pan patrzy, czy nasz stary nie jest podobny z profilu do Napoleona trzeciego? Nos... wąs... hiszpanka.|Niech no pan patrzy czy nasz stary nie jest podobny z profilu do Napoleona III-go? Nos... wąs... hiszpanka.
lalka_1_02_f000101|Do Napoleona, kiedy chorował na kamień - odparł Lisiecki.|Do Napoleona kiedy chorował na kamień - odparł Lisiecki.
lalka_1_02_f000102|Na ten dowcip pan Ignacy skrzywił się z niesmakiem.|Na ten dowcip pan Ignacy skrzywił się z niesmakiem.
lalka_1_02_f000103|Swoją drogą Mraczewski dostał urlop przed siódmą wieczorem, a w parę dni później w prywatnym katalogu Rzeckiego otrzymał notkę:|Swoją drogą Mraczewski dostał urlop przed siódmą wieczorem a w parę dni później w prywatnym katalogu Rzeckiego otrzymał notatkę:
